Motor,N,Iteracion,Tiempo_s
CPython,1000,1,8.251704275608063e-05
omp4py_GPU,1000,1,0.00032688677310943604
CPython,1000,2,7.929839193820953e-05
omp4py_GPU,1000,2,0.000258592888712883
CPython,1000,3,8.474476635456085e-05
omp4py_GPU,1000,3,0.00024257227778434753
CPython,1000,4,7.800757884979248e-05
omp4py_GPU,1000,4,0.00024246610701084137
CPython,1000,5,7.752515375614166e-05
omp4py_GPU,1000,5,0.000235801562666893
CPython,1000,6,7.84415751695633e-05
omp4py_GPU,1000,6,0.00023813173174858093
CPython,1000,7,7.876940071582794e-05
omp4py_GPU,1000,7,0.00023761019110679626
CPython,1000,8,7.869303226470947e-05
omp4py_GPU,1000,8,0.0002348683774471283
CPython,1000,9,7.829442620277405e-05
omp4py_GPU,1000,9,0.0002374500036239624
CPython,1000,10,7.820874452590942e-05
omp4py_GPU,1000,10,0.00023401156067848206
CPython,1000000,1,0.0790911465883255
omp4py_GPU,1000000,1,0.15562856383621693
CPython,1000000,2,0.08253536373376846
omp4py_GPU,1000000,2,0.11803102865815163
CPython,1000000,3,0.08133106678724289
omp4py_GPU,1000000,3,0.10929029062390327
CPython,1000000,4,0.08034518361091614
omp4py_GPU,1000000,4,0.10917867533862591
CPython,1000000,5,0.07982300594449043
omp4py_GPU,1000000,5,0.10931236296892166
CPython,1000000,6,0.07973616570234299
omp4py_GPU,1000000,6,0.10915042273700237
CPython,1000000,7,0.07968153618276119
omp4py_GPU,1000000,7,0.10912950895726681
CPython,1000000,8,0.07959708385169506
omp4py_GPU,1000000,8,0.1091521643102169
CPython,1000000,9,0.07958373427391052
omp4py_GPU,1000000,9,0.10912983864545822
CPython,1000000,10,0.0783265009522438
omp4py_GPU,1000000,10,0.10915319435298443
CPython,10000000,1,0.8355146255344152
omp4py_GPU,10000000,1,1.0907592810690403
CPython,10000000,2,0.8294347487390041
omp4py_GPU,10000000,2,1.091274818405509
CPython,10000000,3,0.7942173238843679
omp4py_GPU,10000000,3,1.0910223256796598
CPython,10000000,4,0.787354351952672
omp4py_GPU,10000000,4,1.091261951252818
CPython,10000000,5,0.7872899863868952
omp4py_GPU,10000000,5,1.0908471941947937
CPython,10000000,6,0.787342019379139
omp4py_GPU,10000000,6,1.0910590887069702
CPython,10000000,7,0.788181783631444
omp4py_GPU,10000000,7,1.0910510756075382
CPython,10000000,8,0.7896177545189857
omp4py_GPU,10000000,8,1.091231955215335
CPython,10000000,9,0.7899800539016724
omp4py_GPU,10000000,9,1.091112669557333
CPython,10000000,10,0.8105035834014416
omp4py_GPU,10000000,10,1.091232879087329
CPython,100000000,1,7.9252871461212635
omp4py_GPU,100000000,1,11.024402480572462
CPython,100000000,2,7.879604587331414
omp4py_GPU,100000000,2,11.038999188691378
CPython,100000000,3,7.994739962741733
omp4py_GPU,100000000,3,10.984590146690607
CPython,100000000,4,8.005812419578433
omp4py_GPU,100000000,4,11.030134614557028
CPython,100000000,5,7.860681466758251
omp4py_GPU,100000000,5,11.033155240118504
CPython,100000000,6,7.854358928278089
omp4py_GPU,100000000,6,11.037266118451953
CPython,100000000,7,7.831147080287337
omp4py_GPU,100000000,7,11.040348686277866
CPython,100000000,8,7.827758898958564
omp4py_GPU,100000000,8,11.018390376120806
CPython,100000000,9,7.9661376271396875
omp4py_GPU,100000000,9,11.014585118740797
CPython,100000000,10,7.973599446937442
omp4py_GPU,100000000,10,11.008321734145284
